round,Date,matchID,ballPosession,corners,freekicks,offsides,score,shotsOnGoal,Teams_teamID,home,team_name,GroupName
5,2020-12-02,80,49x51,6x3,13x13,3x3,3x0,5x1,23,1,"Club Brugge Kv",F
6,2020-12-08,82,52x48,2x4,15x13,1x1,2x2,8x3,23,0,"Club Brugge Kv",F
1,2020-10-20,1,51x49,8x4,13x15,0x3,1x2,3x3,24,1,Zenit,F
2,2020-10-28,31,65x35,8x1,7x8,1x2,2x0,6x0,24,0,Zenit,F
3,2020-11-04,41,48x52,3x3,9x20,5x0,1x1,2x3,24,1,Zenit,F
4,2020-11-24,53,48x52,6x2,12x9,2x0,3x1,7x5,24,0,Zenit,F
5,2020-12-02,80,49x51,6x3,13x13,3x3,3x0,5x1,24,0,Zenit,F
6,2020-12-08,81,45x55,6x8,14x13,5x1,1x2,4x6,24,1,Zenit,F
1,2020-10-20,2,48x52,2x5,11x15,1x0,0x2,3x6,25,0,Juventus,G
2,2020-10-28,29,48x52,1x4,16x20,3x0,0x2,0x5,25,1,Juventus,G
3,2020-11-04,45,48x52,2x1,13x8,0x2,1x4,3x8,25,0,Juventus,G
4,2020-11-24,54,62x38,6x6,10x24,9x0,2x1,7x2,25,1,Juventus,G
5,2020-12-02,77,53x47,8x5,12x11,3x0,3x0,6x3,25,1,Juventus,G
6,2020-12-08,87,57x43,5x1,16x10,3x1,0x3,7x4,25,0,Juventus,G
1,2020-10-20,8,58x42,5x0,18x9,2x4,5x1,11x2,26,1,Barcelona,G
2,2020-10-28,29,48x52,1x4,16x20,3x0,0x2,0x5,26,0,Barcelona,G
3,2020-11-04,48,57x43,10x8,3x12,2x0,2x1,14x7,26,1,Barcelona,G
4,2020-11-24,55,37x63,2x6,7x12,3x1,0x4,3x7,26,0,Barcelona,G
5,2020-12-02,78,43x57,5x0,17x14,4x4,0x3,2x5,26,0,Barcelona,G
6,2020-12-08,87,57x43,5x1,16x10,3x1,0x3,7x4,26,1,Barcelona,G
1,2020-10-20,2,48x52,2x5,11x15,1x0,0x2,3x6,27,1,"Dyn. Kyiv",G
2,2020-10-28,30,51x49,5x3,11x15,2x0,2x2,4x3,27,0,"Dyn. Kyiv",G
3,2020-11-04,48,57x43,10x8,3x12,2x0,2x1,14x7,27,0,"Dyn. Kyiv",G
4,2020-11-24,55,37x63,2x6,7x12,3x1,0x4,3x7,27,1,"Dyn. Kyiv",G
5,2020-12-02,77,53x47,8x5,12x11,3x0,3x0,6x3,27,0,"Dyn. Kyiv",G
6,2020-12-08,85,43x57,2x5,18x16,2x0,1x0,2x2,27,1,"Dyn. Kyiv",G
1,2020-10-20,8,58x42,5x0,18x9,2x4,5x1,11x2,28,0,Ferencvaros,G
2,2020-10-28,30,51x49,5x3,11x15,2x0,2x2,4x3,28,1,Ferencvaros,G
3,2020-11-04,45,48x52,2x1,13x8,0x2,1x4,3x8,28,1,Ferencvaros,G
4,2020-11-24,54,62x38,6x6,10x24,9x0,2x1,7x2,28,0,Ferencvaros,G
5,2020-12-02,78,43x57,5x0,17x14,4x4,0x3,2x5,28,1,Ferencvaros,G
6,2020-12-08,85,43x57,2x5,18x16,2x0,1x0,2x2,28,0,Ferencvaros,G
1,2020-10-20,5,59x41,11x8,15x10,3x2,1x2,5x6,29,1,"Paris SG",H
2,2020-10-28,26,48x52,6x5,9x11,0x2,0x2,4x4,29,0,"Paris SG",H
3,2020-11-04,44,47x53,4x3,24x21,2x7,2x1,5x2,29,0,"Paris SG",H
4,2020-11-24,51,41x59,2x6,18x14,0x1,1x0,3x3,29,1,"Paris SG",H
5,2020-12-02,76,44x56,3x5,14x23,3x4,1x3,5x6,29,0,"Paris SG",H
6,2020-12-08,88,64x36,5x6,20x6,3x0,5x1,9x4,29,1,"Paris SG",H
1,2020-10-20,4,49x51,3x2,19x19,1x4,2x0,7x3,30,1,"RB Leipzig",H
2,2020-10-28,28,48x52,2x5,22x18,1x2,5x0,8x2,30,0,"RB Leipzig",H
3,2020-11-04,44,47x53,4x3,24x21,2x7,2x1,5x2,30,1,"RB Leipzig",H
4,2020-11-24,51,41x59,2x6,18x14,0x1,1x0,3x3,30,0,"RB Leipzig",H
5,2020-12-02,74,46x54,4x6,17x13,3x1,3x4,4x8,30,0,"RB Leipzig",H
6,2020-12-08,84,47x53,4x10,7x21,5x0,3x2,4x7,30,1,"RB Leipzig",H
1,2020-10-20,5,59x41,11x8,15x10,3x2,1x2,5x6,31,0,"Manchester Utd",H
2,2020-10-28,28,48x52,2x5,22x18,1x2,5x0,8x2,31,1,"Manchester Utd",H
3,2020-11-04,42,37x63,1x5,10x10,1x1,2x1,3x2,31,0,"Manchester Utd",H
4,2020-11-24,52,49x51,6x2,12x14,2x1,4x1,8x4,31,1,"Manchester Utd",H
5,2020-12-02,76,44x56,3x5,14x23,3x4,1x3,5x6,31,1,"Manchester Utd",H
6,2020-12-08,84,47x53,4x10,7x21,5x0,3x2,4x7,31,0,"Manchester Utd",H
1,2020-10-20,4,49x51,3x2,19x19,1x4,2x0,7x3,32,0,Baasaksehir,H
2,2020-10-28,26,48x52,6x5,9x11,0x2,0x2,4x4,32,1,Baasaksehir,H
3,2020-11-04,42,37x63,1x5,10x10,1x1,2x1,3x2,32,1,Baasaksehir,H
4,2020-11-24,52,49x51,6x2,12x14,2x1,4x1,8x4,32,0,Baasaksehir,H
5,2020-12-02,74,46x54,4x6,17x13,3x1,3x4,4x8,32,1,Baasaksehir,H
6,2020-12-08,88,64x36,5x6,20x6,3x0,5x1,9x4,32,0,Baasaksehir,H
